time, Quad1.Est.S.Yaw, Quad1.Est.Yaw, Quad1.Yaw, Quad1.Ref.Yaw
0.549996,0.050000,0.000000,0.744430,1.720709
0.554996,0.050000,0.000000,0.758470,1.739549
0.559996,0.050000,0.000000,0.772550,1.752109
0.564996,0.050000,0.000000,0.786669,1.770949
0.569996,0.050000,0.000000,0.800823,1.783508
0.574996,0.050000,0.000000,0.815010,1.802348
0.579996,0.050000,0.000000,0.829232,1.814908
0.584996,0.050000,0.000000,0.843486,1.833748
0.589996,0.050000,0.000000,0.857772,1.846308
0.594996,0.050000,0.000000,0.872090,1.865147
0.599996,0.050000,0.000000,0.886439,1.877707
0.604996,0.050000,0.000000,0.900816,1.896547
0.609996,0.050000,0.000000,0.915224,1.909107
0.614996,0.050000,0.000000,0.929664,1.927946
0.619996,0.050000,0.000000,0.944135,1.940506
0.624996,0.050000,0.000000,0.958634,1.959346
0.629995,0.050000,0.000000,0.973161,1.971906
0.634995,0.050000,0.000000,0.987713,1.990746
0.639995,0.050000,0.000000,1.002284,2.003306
0.644995,0.050000,0.000000,1.016875,2.022145
0.649995,0.050000,0.000000,1.031487,2.034705
0.654995,0.050000,0.000000,1.046124,2.053545
0.659995,0.050000,0.000000,1.060784,2.066105
0.664995,0.050000,0.000000,1.075468,2.084944
0.669995,0.050000,0.000000,1.090176,2.097504
0.674995,0.050000,0.000000,1.104909,2.116344
0.679995,0.050000,0.000000,1.119669,2.128904
0.684995,0.050000,0.000000,1.134452,2.147744
0.689995,0.050000,0.000000,1.149259,2.160303
0.694995,0.050000,0.000000,1.164091,2.179143
0.699995,0.050000,0.000000,1.178950,2.191703
0.704994,0.050000,0.000000,1.193834,2.210543
0.709994,0.050000,0.000000,1.208743,2.223103
0.714994,0.050000,0.000000,1.223675,2.241942
0.719994,0.050000,0.000000,1.238630,2.254502
0.724994,0.050000,0.000000,1.253609,2.273342
0.729994,0.050000,0.000000,1.268613,2.285902
0.734994,0.050000,0.000000,1.283637,2.304742
0.739994,0.050000,0.000000,1.298680,2.317302
0.744994,0.050000,0.000000,1.313741,2.336141
0.749994,0.050000,0.000000,1.328815,2.348701
0.754994,0.050000,0.000000,1.343901,2.367541
0.759994,0.050000,0.000000,1.358994,2.380101
0.764994,0.050000,0.000000,1.374097,2.398940
0.769994,0.050000,0.000000,1.389215,2.411500
0.774994,0.050000,0.000000,1.404352,2.430340
0.779994,0.050000,0.000000,1.419507,2.442900
0.784993,0.050000,0.000000,1.434681,2.461740
0.789993,0.050000,0.000000,1.449871,2.474299
0.794993,0.050000,0.000000,1.465081,2.493139
0.799993,0.050000,0.000000,1.480319,2.505699
0.804993,0.050000,0.000000,1.495584,2.524539
0.809993,0.050000,0.000000,1.510872,2.537099
0.814993,0.050000,0.000000,1.526178,2.555938
0.819993,0.050000,0.000000,1.541501,2.568498
0.824993,0.050000,0.000000,1.556839,2.587338
0.829993,0.050000,0.000000,1.572190,2.599898
0.834993,0.050000,0.000000,1.587550,2.618738
0.839993,0.050000,0.000000,1.602916,2.631298
0.844993,0.050000,0.000000,1.618287,2.650137
0.849993,0.050000,0.000000,1.633663,2.662697
0.854993,0.050000,0.000000,1.649044,2.681537
0.859993,0.050000,0.000000,1.664431,2.694097
0.864992,0.050000,0.000000,1.679824,2.712936
0.869992,0.050000,0.000000,1.695221,2.725496
0.874992,0.050000,0.000000,1.710627,2.744336
0.879992,0.050000,0.000000,1.726043,2.756896
0.884992,0.050000,0.000000,1.741472,2.775736
0.889992,0.050000,0.000000,1.756908,2.788296
0.894992,0.050000,0.000000,1.772350,2.807135
0.899992,0.050000,0.000000,1.787796,2.819695
0.904992,0.050000,0.000000,1.803248,2.838535
0.909992,0.050000,0.000000,1.818706,2.851095
0.914992,0.050000,0.000000,1.834170,2.869934
0.919992,0.050000,0.000000,1.849641,2.882494
0.924992,0.050000,0.000000,1.865118,2.901334
0.929992,0.050000,0.000000,1.880601,2.913894
0.934992,0.050000,0.000000,1.896088,2.932734
0.939991,0.050000,0.000000,1.911579,2.945293
0.944991,0.050000,0.000000,1.927076,2.964133
0.949991,0.050000,0.000000,1.942580,2.976693
0.954991,0.050000,0.000000,1.958090,2.995533
0.959991,0.050000,0.000000,1.973606,3.008093
0.964991,0.050000,0.000000,1.989132,3.026932
0.969991,0.050000,0.000000,2.004663,3.039492
0.974991,0.050000,0.000000,2.020197,3.058332
0.979991,0.050000,0.000000,2.035733,3.070892
0.984991,0.050000,0.000000,2.051271,3.089731
0.989991,0.050000,0.000000,2.066815,3.102291
0.994991,0.050000,0.000000,2.082364,3.121131
0.999991,0.050000,0.000000,2.097918,3.133691
1.004991,0.050000,0.000000,2.113477,-3.130628
1.009991,0.050000,0.000000,2.129040,-3.118042
1.014991,0.050000,0.000000,2.144604,-3.099163
1.019992,0.050000,0.000000,2.160168,-3.086577
1.024992,0.050000,0.000000,2.175731,-3.067698
1.029992,0.050000,0.000000,2.191293,-3.055112
1.034992,0.050000,0.000000,2.206857,-3.036233
1.039993,0.050000,0.000000,2.222425,-3.023647
1.044993,0.050000,0.000000,2.237997,-3.004768
1.049993,0.050000,0.000000,2.253572,-2.992182
1.054993,0.050000,0.000000,2.269153,-2.973303
1.059994,0.050000,0.000000,2.284738,-2.960716
1.064994,0.050000,0.000000,2.300326,-2.941837
1.069994,0.050000,0.000000,2.315917,-2.929251
1.074994,0.050000,0.000000,2.331509,-2.910372
1.079994,0.050000,0.000000,2.347100,-2.897786
1.084995,0.050000,0.000000,2.362688,-2.878907
1.089995,0.050000,0.000000,2.378271,-2.866321
1.094995,0.050000,0.000000,2.393854,-2.847442
1.099995,0.050000,0.000000,2.409443,-2.834856
1.104996,0.050000,0.000000,2.425036,-2.815977
1.109996,0.050000,0.000000,2.440634,-2.803391
1.114996,0.050000,0.000000,2.456236,-2.784512
1.119996,0.050000,0.000000,2.471837,-2.771925
