time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.809993,0.001010,-0.003221,0.001695
0.814993,nan,-0.005015,0.001710
0.819993,-0.167277,-0.022450,0.001723
0.824993,nan,-0.018659,0.001727
0.829993,-0.145587,-0.032316,0.001726
0.834993,nan,-0.035257,0.001720
0.839993,-0.041951,-0.035228,0.001712
0.844993,nan,-0.035651,0.001702
0.849993,-0.069685,-0.042236,0.001695
0.854993,nan,-0.041825,0.001685
0.859993,0.024019,-0.035361,0.001673
0.864992,nan,-0.036926,0.001658
0.869992,-0.037489,-0.037216,0.001646
0.874992,nan,-0.036565,0.001634
0.879992,-0.078664,-0.041683,0.001623
0.884992,nan,-0.042874,0.001608
0.889992,-0.075083,-0.045307,0.001587
0.894992,nan,-0.046870,0.001558
0.899992,-0.070888,-0.050047,0.001523
0.904992,nan,-0.047934,0.001482
0.909992,-0.003129,-0.045491,0.001434
0.914992,nan,-0.046485,0.001378
0.919992,0.147001,-0.028412,0.001313
0.924992,nan,-0.029392,0.001242
0.929992,0.223431,-0.007452,0.001163
0.934992,nan,-0.007264,0.001081
0.939991,-0.079047,-0.015208,0.000999
0.944991,nan,-0.016433,0.000919
0.949991,0.045074,-0.009936,0.000845
0.954991,nan,-0.007140,0.000781
0.959991,0.025077,-0.003427,0.000729
0.964991,nan,-0.004038,0.000688
0.969991,-0.015340,-0.005183,0.000655
0.974991,nan,-0.006752,0.000627
0.979991,0.022257,-0.002992,0.000606
0.984991,nan,-0.000873,0.000589
0.989991,0.007274,-0.000313,0.000574
0.994991,nan,0.000109,0.000560
0.999991,-0.059925,-0.004760,0.000549
1.004991,nan,-0.004146,0.000539
1.009991,-0.051653,-0.010295,0.000530
1.014991,nan,-0.009086,0.000520
1.019992,0.090865,-0.002515,0.000510
1.024992,nan,-0.002489,0.000502
0.005000,-0.000000,0.000001,-0.000007,0.000760
0.010000,-0.000000,0.000000,-0.000084,-0.001556
0.015000,-0.000001,-0.000011,-0.000292,-0.000893
0.020000,-0.000004,-0.000016,-0.000676,-0.004715
0.025000,-0.000009,-0.000043,-0.001261,-0.004601
0.030000,-0.000017,-0.000065,-0.002045,-0.004861
0.035000,-0.000030,-0.000094,-0.003000,-0.005079
0.040000,-0.000049,-0.000115,-0.004059,-0.005553
0.045000,-0.000072,-0.000148,-0.005170,-0.006969
0.050000,-0.000101,-0.000174,-0.006256,-0.005248
0.055000,-0.000136,-0.000213,-0.007243,-0.009795
0.060000,-0.000174,-0.000254,-0.008090,-0.011872
0.065000,-0.000217,-0.000323,-0.008768,-0.015153
0.070000,-0.000262,-0.000386,-0.009249,-0.014822
0.075000,-0.000310,-0.000469,-0.009520,-0.013247
0.080000,-0.000357,-0.000520,-0.009583,-0.010743
0.085000,-0.000405,-0.000585,-0.009454,-0.011402
0.090000,-0.000451,-0.000628,-0.009174,-0.010541
0.095000,-0.000496,-0.000693,-0.008817,-0.012944
0.100000,-0.000539,-0.000745,-0.008463,-0.013211
0.105000,-0.000581,0.002927,-0.008175,0.034593
0.110000,-0.000621,0.003064,-0.008004,0.033516
0.115000,-0.000661,0.003257,-0.008007,0.031747
0.120000,-0.000702,0.003383,-0.008223,0.030403
0.125000,-0.000744,0.003569,-0.008670,0.032183
0.130000,-0.000789,0.003700,-0.009354,0.031885
0.135000,-0.000839,0.003893,-0.010278,0.032135
0.140000,-0.000893,0.004019,-0.011427,0.029678
0.145000,-0.000955,0.004192,-0.012780,0.026436
0.150000,-0.001023,0.004296,-0.014295,0.025345
0.155000,-0.001099,0.004440,-0.015982,0.020023
0.160000,-0.001185,0.004521,-0.017830,0.018030
0.165000,-0.001280,0.004627,-0.019806,0.015199
0.170000,-0.001385,0.004683,-0.021881,0.009856
0.175000,-0.001501,0.004732,-0.024043,0.005768
0.180000,-0.001628,0.004751,-0.026302,0.003816
0.185000,-0.001766,0.004775,-0.028590,0.002227
0.190000,-0.001916,0.004774,-0.030852,-0.002688
0.195000,-0.002077,0.004751,-0.033132,-0.005842
0.200000,-0.002250,0.004722,-0.035417,-0.007477
0.205000,-0.002433,0.003372,-0.037633,-0.016319
0.210000,-0.002628,0.003300,-0.039773,-0.021113
0.215000,-0.002833,0.003167,-0.041838,-0.022426
0.220000,-0.003048,0.003077,-0.043832,-0.024029
0.225000,-0.003273,0.002924,-0.045686,-0.027122
0.230000,-0.003507,0.002813,-0.047355,-0.031648
0.235000,-0.003748,0.002627,-0.048856,-0.030933
0.240000,-0.003996,0.002497,-0.050172,-0.033417
0.245000,-0.004251,0.002300,-0.051349,-0.032743
0.250000,-0.004511,0.002180,-0.052419,-0.034053
0.255000,-0.004776,0.001968,-0.053408,-0.036361
0.260000,-0.005045,0.001834,-0.054290,-0.036706
0.265000,-0.005319,0.001608,-0.055024,-0.040633
0.270000,-0.005596,0.001443,-0.055573,-0.040393
0.275000,-0.005875,0.001194,-0.055917,-0.043667
0.280000,-0.006155,0.001017,-0.056037,-0.046747
0.285000,-0.006435,0.000730,-0.055920,-0.048946
0.290000,-0.006714,0.000531,-0.055552,-0.051641
0.295000,-0.006990,0.000219,-0.054924,-0.051256
0.300000,-0.007262,0.000018,-0.054064,-0.049785
0.305000,-0.007529,-0.002294,-0.053030,-0.053330
0.310000,-0.007791,-0.002514,-0.051849,-0.052910
0.314999,-0.008046,-0.002824,-0.050556,-0.052554
0.319999,-0.008295,-0.003034,-0.049146,-0.051690
0.324999,-0.008536,-0.003344,-0.047643,-0.049041
0.329999,-0.008769,-0.003536,-0.046054,-0.048824
0.334999,-0.008995,-0.003820,-0.044376,-0.045111
0.339999,-0.009211,-0.003991,-0.042629,-0.042471
0.344999,-0.009419,-0.004244,-0.040783,-0.042243
0.349999,-0.009617,-0.004415,-0.038848,-0.042036
0.354999,-0.009805,-0.004664,-0.036872,-0.040301
0.359999,-0.009984,-0.004825,-0.034812,-0.040610
0.364999,-0.010151,-0.005070,-0.032680,-0.044025
0.369999,-0.010308,-0.005243,-0.030448,-0.045984
0.374999,-0.010453,-0.005515,-0.028087,-0.043491
0.379999,-0.010586,-0.005687,-0.025602,-0.042019
0.384999,-0.010707,-0.005934,-0.023015,-0.039207
0.389999,-0.010814,-0.006092,-0.020363,-0.038607
0.394998,-0.010907,-0.006328,-0.017660,-0.039687
0.399998,-0.010988,-0.006470,-0.014939,-0.035879
0.404998,-0.011054,0.001110,-0.012067,0.003019
0.409998,-0.011105,0.001121,-0.009067,0.004857
0.414998,-0.011141,0.001150,-0.006082,0.005468
0.419998,-0.011163,0.001175,-0.003260,0.006995
0.424998,-0.011172,0.001220,-0.000670,0.009624
0.429998,-0.011168,0.001259,0.001600,0.010506
0.434998,-0.011154,0.001317,0.003539,0.007974
0.439998,-0.011132,0.001347,0.005140,0.008886
0.444998,-0.011102,0.001406,0.006407,0.010814
0.449998,-0.011067,0.001442,0.007393,0.010673
0.454998,-0.011028,0.001511,0.008119,0.014304
0.459998,-0.010985,0.001571,0.008613,0.016208
0.464998,-0.010941,0.001671,0.008913,0.018533
0.469997,-0.010896,0.001762,0.009052,0.019694
0.474997,-0.010851,0.001871,0.009057,0.018952
0.479997,-0.010806,0.001960,0.008944,0.021566
0.484997,-0.010762,0.002079,0.008722,0.019712
0.489997,-0.010719,0.002155,0.008389,0.020676
0.494997,-0.010679,0.002266,0.007944,0.016518
0.499997,-0.010641,0.002331,0.007372,0.013115
0.504997,-0.010606,0.008902,0.006629,0.036970
0.509997,-0.010575,0.009046,0.005709,0.035148
0.514997,-0.010550,0.009254,0.004588,0.033719
0.519997,-0.010531,0.009389,0.003225,0.032171
0.524997,-0.010520,0.009576,0.001628,0.027957
0.529997,-0.010517,0.009685,-0.000249,0.026377
0.534997,-0.010525,0.009838,-0.002401,0.022574
0.539997,-0.010544,0.009927,-0.004846,0.020805
0.544997,-0.010576,0.010041,-0.007561,0.014379
0.549996,-0.010623,0.010097,-0.010565,0.011985
0.554996,-0.010685,0.010150,-0.013807,0.003737
0.559996,-0.010765,0.010162,-0.017210,-0.000963
0.564996,-0.010861,0.010149,-0.020725,-0.006178
0.569996,-0.010975,0.010120,-0.024202,-0.010508
0.574996,-0.011106,0.010043,-0.027614,-0.017795
0.579996,-0.011255,0.009967,-0.030999,-0.020574
0.584996,-0.011420,0.009839,-0.034267,-0.022188
0.589996,-0.011600,0.009751,-0.037431,-0.024207
0.594996,-0.011797,0.009594,-0.040415,-0.030022
0.599996,-0.012007,0.009478,-0.043170,-0.034489
0.604996,-0.012231,0.013058,-0.045699,-0.035161
0.609996,-0.012466,0.012907,-0.047972,-0.038202
0.614996,-0.012712,0.012671,-0.050069,-0.042657
0.619996,-0.012968,0.012503,-0.051969,-0.043683
0.624996,-0.013234,0.012231,-0.053728,-0.048344
0.629995,-0.013507,0.012029,-0.055348,-0.049677
0.634995,-0.013788,0.011728,-0.056870,-0.051010
0.639995,-0.014077,0.011517,-0.058294,-0.052558
0.644995,-0.014372,0.011193,-0.059598,-0.055168
0.649995,-0.014674,0.010965,-0.060808,-0.057781
0.654995,-0.014982,0.010623,-0.061908,-0.057731
0.659995,-0.015294,0.010391,-0.062861,-0.057438
0.664995,-0.015611,0.010037,-0.063644,-0.059910
0.669995,-0.015931,0.009805,-0.064275,-0.060785
0.674995,-0.016254,0.009435,-0.064725,-0.064255
0.679995,-0.016578,0.009210,-0.064984,-0.063489
0.684995,-0.016903,0.008826,-0.065053,-0.065782
0.689995,-0.017228,0.008532,-0.064940,-0.065533
0.694995,-0.017552,0.008138,-0.064655,-0.064382
0.699995,-0.017874,0.007923,-0.064210,-0.064629
0.704994,-0.018194,0.005851,-0.063570,-0.071297
0.709994,-0.018509,0.005582,-0.062747,-0.069575
0.714994,-0.018820,0.005157,-0.061759,-0.070517
0.719994,-0.019125,0.004870,-0.060598,-0.071053
0.724994,-0.019424,0.004445,-0.059317,-0.070108
0.729994,-0.019717,0.004161,-0.057920,-0.069620
0.734994,-0.020002,0.003741,-0.056399,-0.070277
0.739994,-0.020279,0.003462,-0.054721,-0.068341
0.744994,-0.020547,0.003054,-0.052875,-0.066650
0.749994,-0.020806,0.002788,-0.050882,-0.064913
0.754994,-0.021054,0.002399,-0.048754,-0.065399
0.759994,-0.021291,0.002136,-0.046510,-0.066890
0.764994,-0.021516,0.001733,-0.044155,-0.064890
0.769994,-0.021730,0.001468,-0.041790,-0.060573
0.774994,-0.021931,0.001104,-0.039332,-0.058240
0.779994,-0.022121,0.000865,-0.036831,-0.057151
0.784993,-0.022297,0.000528,-0.034281,-0.051427
0.789993,-0.022461,0.000342,-0.031684,-0.049308
0.794993,-0.022612,0.000047,-0.029136,-0.049500
0.799993,-0.022750,-0.000125,-0.026593,-0.047646
0.804993,-0.022875,0.011220,-0.024013,-0.009186
0.809993,-0.022987,0.011223,-0.021406,-0.008283
0.814993,-0.023086,0.011177,-0.018849,-0.006462
0.819993,-0.023174,0.011187,-0.016522,-0.006430
0.824993,-0.023250,0.011146,-0.014520,-0.008538
0.829993,-0.023318,0.011103,-0.012885,-0.006758
0.834993,-0.023378,0.011066,-0.011662,-0.003316
0.839993,-0.023434,0.011054,-0.010892,-0.002717
0.844993,-0.023487,0.011036,-0.010565,-0.002974
0.849993,-0.023540,0.011020,-0.010633,-0.003562
0.854993,-0.023594,0.011001,-0.011046,-0.003256
0.859993,-0.023652,0.011001,-0.011743,-0.001785
0.864992,-0.023713,0.010997,-0.012676,-0.000079
0.869992,-0.023780,0.011005,-0.013772,-0.001818
0.874992,-0.023852,0.010987,-0.014969,-0.005161
0.879992,-0.023931,0.010961,-0.016242,-0.006821
0.884992,-0.024016,0.010911,-0.017568,-0.012385
0.889992,-0.024108,0.010871,-0.018950,-0.012390
0.894992,-0.024207,0.010789,-0.020387,-0.017360
0.899992,-0.024313,0.010698,-0.021862,-0.019957
0.904992,-0.024427,0.015245,-0.023403,-0.005591
0.909992,-0.024549,0.015215,-0.025013,-0.006607
0.914992,-0.024679,0.015167,-0.026710,-0.010401
0.919992,-0.024818,0.015125,-0.028531,-0.011609
0.924992,-0.024966,0.015047,-0.030430,-0.014164
0.929992,-0.025124,0.014985,-0.032424,-0.015807
0.934992,-0.025293,0.014889,-0.034509,-0.018765
0.939991,-0.025472,0.014811,-0.036650,-0.023528
0.944991,-0.025662,0.014666,-0.038831,-0.026382
0.949991,-0.025862,0.014560,-0.041086,-0.027299
0.954991,-0.026075,0.014386,-0.043398,-0.030238
0.959991,-0.026299,0.014266,-0.045724,-0.031982
0.964991,-0.026534,0.014070,-0.048036,-0.033604
0.969991,-0.026781,0.013933,-0.050257,-0.036593
0.974991,-0.027039,0.013703,-0.052339,-0.042268
0.979991,-0.027306,0.013529,-0.054309,-0.045485
0.984991,-0.027584,0.013253,-0.056207,-0.047984
0.989991,-0.027870,0.013056,-0.058029,-0.053089
0.994991,-0.028166,0.012734,-0.059817,-0.055420
0.999991,-0.028470,0.012510,-0.061543,-0.057491
1.004991,-0.028783,0.007979,-0.063177,-0.068610
1.009991,-0.029103,0.007706,-0.064673,-0.071460
1.014991,-0.029431,0.007269,-0.066026,-0.075490
1.019992,-0.029764,0.006956,-0.067127,-0.077998
1.024992,-0.030102,0.006484,-0.067944,-0.079072
1.029992,-0.030444,0.006164,-0.068448,-0.080141
1.034992,-0.030787,0.005678,-0.068616,-0.082135
1.039993,-0.031129,0.005347,-0.068432,-0.083038
1.044993,-0.031470,0.004858,-0.067892,-0.079629
1.049993,-0.031807,0.004539,-0.067014,-0.077908
1.054993,-0.032139,0.004076,-0.065801,-0.077920
1.059994,-0.032463,0.003765,-0.064305,-0.077793
1.064994,-0.032780,0.003304,-0.062596,-0.076041
1.069994,-0.033087,0.002996,-0.060717,-0.072209
1.074994,-0.033384,0.002566,-0.058626,-0.070001
1.079994,-0.033671,0.002290,-0.056405,-0.069598
1.084995,-0.033946,0.001872,-0.054149,-0.069434
1.089995,-0.034210,0.001588,-0.051855,-0.068656
1.094995,-0.034462,0.001179,-0.049532,-0.066302
1.099995,-0.034703,0.000909,-0.047223,-0.067511
1.104996,-0.034932,-0.000101,-0.044884,-0.070433
1.109996,-0.035150,-0.000383,-0.042517,-0.068744
1.114996,-0.035355,-0.000796,-0.040095,-0.065853
1.119996,-0.035548,-0.001058,-0.037605,-0.063691
1.124997,-0.035728,-0.001441,-0.035063,-0.063766
1.129997,-0.035896,-0.001695,-0.032515,-0.061005
1.134997,-0.036051,-0.002058,-0.029924,-0.057916
1.139997,-0.036193,-0.002291,-0.027286,-0.057574
1.144997,-0.036321,-0.002636,-0.024580,-0.058589
1.149998,-0.036435,-0.002872,-0.021754,-0.059678
1.154998,-0.036535,-0.003230,-0.018833,-0.058763
1.159998,-0.036621,-0.003466,-0.015852,-0.056846
1.164998,-0.036691,-0.003810,-0.012852,-0.055873
1.169999,-0.036746,-0.004033,-0.009784,-0.054050
1.174999,-0.036786,-0.004347,-0.006646,-0.048186
1.179999,-0.036809,-0.004542,-0.003498,-0.046071
1.184999,-0.036817,-0.004816,-0.000272,-0.046061
1.190000,-0.036809,-0.005019,0.002999,-0.042416
1.195000,-0.036784,-0.005259,0.006302,-0.037951
1.200000,-0.036742,-0.005415,0.009636,-0.036794
1.205000,-0.036684,0.015560,0.013200,0.027941
1.210001,-0.036606,0.015683,0.016984,0.029893
1.215001,-0.036510,0.015872,0.020584,0.033120
1.220001,-0.036397,0.016008,0.023873,0.035884
1.225001,-0.036270,0.016224,0.026645,0.036793
1.230001,-0.036130,0.016377,0.028815,0.038496
1.235002,-0.035981,0.016614,0.030284,0.040512
1.240002,-0.035827,0.016773,0.031013,0.042412
1.245002,-0.035672,0.017030,0.030971,0.043795
1.250002,-0.035519,0.017205,0.030152,0.042691
1.255003,-0.035373,0.017462,0.028610,0.040793
1.260003,-0.035236,0.017627,0.026411,0.037694
1.265003,-0.035112,0.017843,0.023581,0.033205
1.270003,-0.035004,0.017967,0.020105,0.030449
1.275004,-0.034916,0.018140,0.016117,0.025455
1.280004,-0.034848,0.018236,0.011734,0.022333
1.285004,-0.034803,0.018354,0.006994,0.014143
1.290004,-0.034783,0.018402,0.001954,0.007731
1.295004,-0.034789,0.018434,-0.003289,-0.000818
1.300005,-0.034822,0.018427,-0.008631,-0.005263
1.305005,-0.034881,0.020695,-0.014159,-0.010928
1.310005,-0.034970,0.020635,-0.020014,-0.015782
1.315005,-0.035087,0.020531,-0.025781,-0.022540
1.320006,-0.035233,0.020445,-0.031403,-0.025614
1.325006,-0.035407,0.020268,-0.036939,-0.035807
1.330006,-0.035607,0.020119,-0.042265,-0.045025
1.335006,-0.035834,0.019836,-0.047456,-0.054293
1.340007,-0.036087,0.019614,-0.052448,-0.059684
1.345007,-0.036363,0.019237,-0.057177,-0.068354
1.350007,-0.036662,0.018958,-0.061614,-0.072062
1.355007,-0.036983,0.018518,-0.065755,-0.078196
1.360008,-0.037323,0.018206,-0.069583,-0.082223
1.365008,-0.037682,0.017702,-0.073060,-0.087239
1.370008,-0.038057,0.017358,-0.076182,-0.090743
1.375008,-0.038446,0.016799,-0.078857,-0.095978
1.380008,-0.038847,0.016419,-0.081104,-0.097705
1.385009,-0.039258,0.015822,-0.082984,-0.102805
1.390009,-0.039678,0.015437,-0.084483,-0.103026
1.395009,-0.040104,0.014816,-0.085608,-0.105515
1.400009,-0.040534,0.014406,-0.086377,-0.104748
1.405010,-0.040968,0.014016,-0.086840,-0.106550
1.410010,-0.041403,0.013569,-0.087027,-0.108542
1.415010,-0.041838,0.012923,-0.086967,-0.105093
1.420010,-0.042272,0.012518,-0.086692,-0.106877
1.425011,-0.042704,0.011874,-0.086227,-0.109130
1.430011,-0.043133,0.011414,-0.085586,-0.110500
1.435011,-0.043559,0.010759,-0.084788,-0.109010
1.440011,-0.043980,0.010319,-0.083847,-0.108918
1.445011,-0.044396,0.009669,-0.082770,-0.109451
1.450012,-0.044806,0.009232,-0.081561,-0.109301
1.455012,-0.045210,0.008567,-0.080213,-0.111097
1.460012,-0.045607,0.008122,-0.078700,-0.111462
1.465012,-0.045995,0.007458,-0.077018,-0.109679
1.470013,-0.046375,0.007009,-0.075165,-0.110073
1.475013,-0.046745,0.006349,-0.073110,-0.111555
1.480013,-0.047103,0.005898,-0.070840,-0.111724
1.485013,-0.047450,0.005231,-0.068339,-0.110448
1.490014,-0.047784,0.004794,-0.065600,-0.109450
1.495014,-0.048103,0.004133,-0.062652,-0.108961
1.500014,-0.048407,0.003701,-0.059486,-0.108732
1.505014,-0.048694,0.010135,-0.056112,-0.081999
1.510015,-0.048964,0.009808,-0.052511,-0.080656
1.515015,-0.049215,0.009326,-0.048796,-0.080844
1.520015,-0.049448,0.009007,-0.045082,-0.078606
1.525015,-0.049663,0.008544,-0.041403,-0.075088
1.530015,-0.049859,0.008240,-0.037790,-0.075066
1.535016,-0.050037,0.007801,-0.034291,-0.068683
1.540016,-0.050198,0.007527,-0.030917,-0.068890
1.545016,-0.050343,0.007118,-0.027688,-0.066558
1.550016,-0.050473,0.006850,-0.024651,-0.065508
1.555017,-0.050587,0.006459,-0.021776,-0.064112
1.560017,-0.050688,0.006218,-0.019136,-0.063352
1.565017,-0.050776,0.005841,-0.016706,-0.062005
1.570017,-0.050853,0.005584,-0.014434,-0.061473
1.575018,-0.050919,0.005216,-0.012276,-0.061416
1.580018,-0.050974,0.004984,-0.010193,-0.062674
1.585018,-0.051019,0.004612,-0.008196,-0.061015
1.590018,-0.051054,0.004373,-0.006258,-0.062115
1.595019,-0.051079,0.004000,-0.004332,-0.062168
1.600019,-0.051095,0.003729,-0.002400,-0.062713
1.605019,-0.051101,0.020538,-0.000387,-0.011914
1.610019,-0.051097,0.020496,0.001690,-0.014700
1.615019,-0.051082,0.020406,0.003657,-0.014628
1.620020,-0.051059,0.020340,0.005401,-0.017199
1.625020,-0.051027,0.020247,0.006818,-0.014578
1.630020,-0.050990,0.020187,0.007849,-0.015379
1.635020,-0.050949,0.020095,0.008434,-0.017151
1.640021,-0.050906,0.020022,0.008553,-0.019432
1.645021,-0.050864,0.019903,0.008197,-0.019210
1.650021,-0.050826,0.019827,0.007374,-0.018912
1.655021,-0.050792,0.019715,0.006148,-0.020733
1.660022,-0.050766,0.019641,0.004596,-0.022099
1.665022,-0.050748,0.019501,0.002759,-0.027168
1.670022,-0.050741,0.019392,0.000635,-0.028588
1.675022,-0.050745,0.019211,-0.001724,-0.034546
1.680022,-0.050761,0.019045,-0.004271,-0.039138
1.685023,-0.050790,0.018799,-0.006937,-0.043376
1.690023,-0.050833,0.018631,-0.009683,-0.048738
1.695023,-0.050890,0.018328,-0.012462,-0.054667
1.700023,-0.050961,0.018106,-0.015261,-0.057015
1.705024,-0.051045,0.027477,-0.018056,-0.018538
1.710024,-0.051144,0.027401,-0.020880,-0.023476
1.715024,-0.051257,0.027245,-0.023720,-0.030399
1.720024,-0.051384,0.027116,-0.026578,-0.032968
1.725025,-0.051526,0.026914,-0.029482,-0.037621
1.730025,-0.051682,0.026751,-0.032425,-0.040242
1.735025,-0.051853,0.026496,-0.035491,-0.045540
1.740025,-0.052040,0.026312,-0.038677,-0.049644
1.745026,-0.052244,0.026002,-0.042038,-0.056555
1.750026,-0.052464,0.025772,-0.045549,-0.062018
1.755026,-0.052703,0.025384,-0.049128,-0.069452
1.760026,-0.052959,0.025101,-0.052729,-0.074274
1.765026,-0.053234,0.024649,-0.056328,-0.076964
1.770027,-0.053526,0.024338,-0.059703,-0.078794
